timestamp,type_id,rank_index,wideband_cqi_cw0,wideband_cqi_cw1,single_wb_pmi,single_mb_pmi,carrier_index
2024-08-09 11:30:20.115221,LTE_PHY_PUSCH_CSF,Rank 2,8,8,1,0,PCC
2024-08-09 11:30:20.139158,LTE_PHY_PUSCH_CSF,Rank 2,9,9,1,0,PCC
2024-08-09 11:30:20.165214,LTE_PHY_PUSCH_CSF,Rank 2,8,8,1,0,PCC
2024-08-09 11:30:20.175211,LTE_PHY_PUSCH_CSF,Rank 1,13,0,0,0,PCC
2024-08-09 11:30:20.200212,LTE_PHY_PUSCH_CSF,Rank 1,12,0,0,0,PCC
2024-08-09 11:30:20.230217,LTE_PHY_PUSCH_CSF,Rank 1,11,0,0,0,PCC
2024-08-09 11:30:20.243080,LTE_PHY_PUSCH_CSF,Rank 1,10,0,2,0,PCC
2024-08-09 11:30:20.253082,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,PCC
2024-08-09 11:30:20.263082,LTE_PHY_PUSCH_CSF,Rank 1,9,0,0,0,PCC
2024-08-09 11:30:20.273082,LTE_PHY_PUSCH_CSF,Rank 1,10,0,2,0,PCC
2024-08-09 11:30:20.273082,LTE_PHY_PUSCH_CSF,Rank 1,7,0,2,0,SCC-2
2024-08-09 11:30:20.283082,LTE_PHY_PUSCH_CSF,Rank 1,10,0,0,0,PCC
2024-08-09 11:30:20.283082,LTE_PHY_PUSCH_CSF,Rank 1,7,0,2,0,SCC-2
2024-08-09 11:30:20.293080,LTE_PHY_PUSCH_CSF,Rank 1,11,0,0,0,PCC
2024-08-09 11:30:20.293080,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.303116,LTE_PHY_PUSCH_CSF,Rank 1,11,0,0,0,PCC
2024-08-09 11:30:20.303116,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:20.313085,LTE_PHY_PUSCH_CSF,Rank 1,11,0,0,0,PCC
2024-08-09 11:30:20.313085,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:20.323084,LTE_PHY_PUSCH_CSF,Rank 1,11,0,0,0,PCC
2024-08-09 11:30:20.323084,LTE_PHY_PUSCH_CSF,Rank 1,10,0,2,0,SCC-2
2024-08-09 11:30:20.333079,LTE_PHY_PUSCH_CSF,Rank 1,12,0,0,0,PCC
2024-08-09 11:30:20.333079,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
2024-08-09 11:30:20.343077,LTE_PHY_PUSCH_CSF,Rank 1,10,0,0,0,PCC
2024-08-09 11:30:20.343077,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:20.353078,LTE_PHY_PUSCH_CSF,Rank 1,11,0,0,0,PCC
2024-08-09 11:30:20.353078,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
