timestamp,type_id,e_arfcn,num_cells,pci,serv_cell_index,rsrp,rsrq,rssi,ftl_snr_0,ftl_snr_1,cinr_rx_0,cinr_rx_1,projected_sir,post_ic_rsrq
2024-08-09 11:30:19.919584,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-99.5,-13.375,-62.875,18.700000762939453,9.800000190734863,3228,1275,-3,-14.125
2024-08-09 11:30:19.919584,LTE_PHY_Serv_Cell_Measurement,9360,1,449,2_SCell,-85.9375,-13.5625,-56.8125,14.300000190734863,11.800000190734863,1731,1641,-3,-10.75
2024-08-09 11:30:19.929617,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-99.375,-13.375,-63.625,18.0,10.699999809265137,3371,1378,-2,-12.9375
2024-08-09 11:30:19.929617,LTE_PHY_Serv_Cell_Measurement,9360,1,449,2_SCell,-86.0,-13.5625,-56.625,0.5,0.800000011920929,1197,1081,-2,-11.4375
2024-08-09 11:30:19.942786,LTE_PHY_Serv_Cell_Measurement,100,2,351,PCell,-99.1875,-13.375,-64.75,13.399999618530273,7.400000095367432,3390,1387,-2,-12.125
2024-08-09 11:30:19.942786,LTE_PHY_Serv_Cell_Measurement,9360,1,449,2_SCell,-86.0625,-13.5625,-55.4375,7.0,6.199999809265137,896,784,-2,-14.75
2024-08-09 11:30:19.949550,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-99.125,-13.375,-65.5,14.0,9.800000190734863,3358,1406,-2,-11.875
2024-08-09 11:30:19.949550,LTE_PHY_Serv_Cell_Measurement,9360,1,449,2_SCell,-86.125,-13.5625,-55.125,7.699999809265137,5.099999904632568,902,720,-2,-14.0625
2024-08-09 11:30:19.959585,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-99.0625,-13.3125,-62.5,5.199999809265137,-8.300000190734863,2911,671,-2,-11.75
2024-08-09 11:30:19.959585,LTE_PHY_Serv_Cell_Measurement,9360,1,449,2_SCell,-86.1875,-13.5625,-57.625,14.0,11.100000381469727,994,771,-2,-11.625
2024-08-09 11:30:19.969599,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-99.0625,-13.3125,-64.5625,0.4000000059604645,-5.0,1920,4294966841,-2,-12.1875
2024-08-09 11:30:19.969599,LTE_PHY_Serv_Cell_Measurement,9360,1,449,2_SCell,-86.3125,-13.5625,-57.3125,16.299999237060547,13.0,1126,898,-2,-12.0625
2024-08-09 11:30:19.982779,LTE_PHY_Serv_Cell_Measurement,100,2,351,PCell,-99.0625,-13.3125,-63.875,0.800000011920929,-3.0999999046325684,1186,4294966576,-2,-14.5
2024-08-09 11:30:19.982779,LTE_PHY_Serv_Cell_Measurement,9360,1,449,2_SCell,-86.375,-13.5625,-55.4375,12.300000190734863,9.100000381469727,1302,1044,-2,-14.6875
2024-08-09 11:30:19.989011,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-99.0625,-13.375,-63.9375,1.7999999523162842,-4.5,949,4294966490,-2,-14.625
2024-08-09 11:30:19.989011,LTE_PHY_Serv_Cell_Measurement,9360,1,449,2_SCell,-86.4375,-13.5625,-55.6875,3.5,3.200000047683716,1304,1014,-2,-13.5625
2024-08-09 11:30:19.999593,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-99.0,-13.375,-62.75,4.099999904632568,-2.200000047683716,809,4294966387,-2,-15.25
2024-08-09 11:30:19.999593,LTE_PHY_Serv_Cell_Measurement,9360,1,449,2_SCell,-86.5,-13.5625,-56.625,3.0,1.899999976158142,1133,826,-2,-12.25
2024-08-09 11:30:20.009523,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-98.9375,-13.3125,-66.25,16.5,9.100000381469727,1060,4294966568,-2,-9.25
2024-08-09 11:30:20.009523,LTE_PHY_Serv_Cell_Measurement,9360,1,449,2_SCell,-86.5625,-13.5,-57.0625,11.600000381469727,9.0,1056,687,-2,-12.0
