timestamp,type_id,cell_id,ssb_or_trs,carrier_index,ftl_snr_raw_0,ftl_snr_0,ftl_snr_raw_1,ftl_snr_1,ftl_snr_raw_2,ftl_snr_2,ftl_snr_raw_3,ftl_snr_3
2024-08-09 11:02:10.160922,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1435,1.47,726,-1.51,1152,0.51,1935,2.76
2024-08-09 11:02:10.192753,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1066,0.17,629,-2.15,1778,2.39,1643,2.05
2024-08-09 11:02:10.192755,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,991,-0.14,565,-2.63,1894,2.67,1727,2.27
2024-08-09 11:02:10.212749,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1449,1.51,747,-1.39,1161,0.55,1995,2.89
2024-08-09 11:02:10.320918,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2308,3.52,2637,4.09,1399,1.36,979,-0.20
2024-08-09 11:02:10.320919,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2088,3.09,1228,0.79,1591,1.91,801,-1.08
2024-08-09 11:02:10.352747,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1789,2.42,2489,3.84,1228,0.79,810,-1.03
2024-08-09 11:02:10.352750,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1755,2.34,1962,2.82,1145,0.49,659,-1.94
2024-08-09 11:02:10.372750,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1971,2.84,1083,0.24,1474,1.58,739,-1.43
2024-08-09 11:02:10.372753,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1795,2.43,2418,3.72,1470,1.57,689,-1.74
2024-08-09 11:02:10.400921,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2417,3.72,3432,5.22,1964,2.82,727,-1.51
2024-08-09 11:02:10.400923,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1984,2.87,1120,0.39,1457,1.53,746,-1.39
2024-08-09 11:02:10.432746,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2002,2.91,2485,3.83,1462,1.55,692,-1.72
2024-08-09 11:02:10.432748,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1939,2.77,2505,3.87,1338,1.16,676,-1.83
2024-08-09 11:02:10.452749,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2132,3.18,1170,0.58,1503,1.67,753,-1.35
2024-08-09 11:02:10.452750,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1729,2.27,2381,3.65,1367,1.26,670,-1.87
2024-08-09 11:02:10.532768,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2048,3.00,2562,3.97,1347,1.19,596,-2.39
2024-08-09 11:02:10.560921,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1873,2.62,2637,4.09,1311,1.08,623,-2.19
2024-08-09 11:02:10.560923,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2133,3.18,1189,0.65,1574,1.87,772,-1.24
2024-08-09 11:02:10.640922,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2055,3.02,1145,0.49,1484,1.61,769,-1.26
2024-08-09 11:02:10.672746,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1939,2.77,2636,4.09,1535,1.76,744,-1.40
2024-08-09 11:02:10.672749,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1847,2.56,2587,4.01,1484,1.61,641,-2.06
2024-08-09 11:02:10.692750,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2050,3.01,1127,0.42,1457,1.53,719,-1.56
2024-08-09 11:02:10.772747,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2144,3.20,1162,0.55,1542,1.78,766,-1.28
2024-08-09 11:02:10.772749,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2256,3.42,2608,4.04,1385,1.31,564,-2.64
2024-08-09 11:02:10.800922,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2254,3.42,2795,4.34,1395,1.34,596,-2.39
2024-08-09 11:02:10.800924,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2026,2.96,1094,0.29,1474,1.58,723,-1.53
2024-08-09 11:02:10.832743,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1910,2.70,2879,4.47,1581,1.89,539,-2.84
2024-08-09 11:02:10.832745,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2209,3.33,2852,4.43,1449,1.51,767,-1.27
2024-08-09 11:02:10.852747,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2100,3.11,1106,0.34,1474,1.58,746,-1.39
2024-08-09 11:02:10.852749,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2161,3.23,2790,4.33,1520,1.72,745,-1.40
2024-08-09 11:02:10.880921,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1981,2.86,2413,3.71,1316,1.09,787,-1.16
2024-08-09 11:02:10.880922,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2167,3.25,1113,0.36,1491,1.63,752,-1.36
2024-08-09 11:02:10.920895,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1927,2.74,2673,4.15,1460,1.54,719,-1.56
2024-08-09 11:02:10.920897,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2159,3.23,1066,0.17,1494,1.64,729,-1.49
2024-08-09 11:02:10.960929,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1370,1.27,718,-1.56,2602,4.03,1981,2.86
2024-08-09 11:02:10.960930,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1568,1.85,735,-1.46,1107,0.34,2186,3.28
2024-08-09 11:02:10.992746,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1164,0.56,551,-2.74,2150,3.21,1800,2.45
2024-08-09 11:02:10.992748,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1217,0.75,628,-2.16,2359,3.61,1869,2.61
2024-08-09 11:02:11.012746,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1532,1.75,726,-1.51,1075,0.21,2195,3.30
2024-08-09 11:02:11.012747,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1057,0.14,586,-2.47,2168,3.25,1836,2.53
2024-08-09 11:02:11.040920,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1175,0.60,856,-0.79,2700,4.19,2368,3.63
2024-08-09 11:02:11.040922,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1448,1.51,721,-1.54,1035,0.05,2099,3.11
2024-08-09 11:02:11.072745,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1258,0.90,661,-1.93,2620,4.06,2156,3.22
2024-08-09 11:02:11.072747,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1434,1.46,892,-0.60,3053,4.72,2454,3.78
2024-08-09 11:02:11.092745,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1546,1.79,767,-1.27,1085,0.25,2236,3.38
2024-08-09 11:02:11.092746,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1408,1.38,990,-0.15,2526,3.90,2539,3.93
2024-08-09 11:02:11.120927,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1583,1.89,709,-1.62,2648,4.11,2517,3.89
2024-08-09 11:02:11.120929,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1604,1.95,834,-0.90,1133,0.44,2246,3.40
2024-08-09 11:02:11.152743,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1032,0.03,671,-1.86,2219,3.35,1903,2.69
2024-08-09 11:02:11.152745,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1237,0.82,781,-1.19,2389,3.67,1892,2.66
2024-08-09 11:02:11.172744,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1480,1.60,751,-1.36,1031,0.03,2134,3.18
2024-08-09 11:02:11.172746,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1454,1.52,566,-2.62,2401,3.69,1960,2.81
2024-08-09 11:02:11.200916,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1215,0.74,707,-1.63,2392,3.67,1938,2.77
2024-08-09 11:02:11.200918,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1461,1.55,769,-1.26,1026,0.01,2197,3.31
2024-08-09 11:02:11.232742,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,992,-0.14,585,-2.47,1958,2.81,1878,2.63
2024-08-09 11:02:11.232745,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1240,0.83,704,-1.65,2545,3.94,2080,3.07
2024-08-09 11:02:11.252745,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1471,1.57,754,-1.35,1033,0.04,2223,3.36
2024-08-09 11:02:11.252746,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,961,-0.28,754,-1.35,2457,3.79,2120,3.15
2024-08-09 11:02:11.280918,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1302,1.05,707,-1.63,2730,4.24,2175,3.26
2024-08-09 11:02:11.280920,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1455,1.53,690,-1.74,1024,-0.00,2155,3.22
2024-08-09 11:02:11.312743,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,991,-0.14,599,-2.37,2467,3.80,1887,2.65
2024-08-09 11:02:11.312745,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1085,0.25,788,-1.15,2716,4.22,1742,2.31
2024-08-09 11:02:11.332744,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1486,1.62,714,-1.59,1056,0.13,2211,3.33
2024-08-09 11:02:11.332747,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1169,0.58,665,-1.90,2779,4.31,2006,2.91
2024-08-09 11:02:11.600914,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1394,1.34,631,-2.13,958,-0.29,2143,3.20
2024-08-09 11:02:11.600915,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2085,3.08,941,-0.37,1370,1.27,645,-2.04
2024-08-09 11:02:11.632743,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2223,3.36,2622,4.06,1307,1.06,511,-3.08
2024-08-09 11:02:11.632745,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2160,3.23,2262,3.43,1061,0.15,682,-1.79
2024-08-09 11:02:11.652742,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2184,3.28,994,-0.13,1506,1.68,687,-1.76
2024-08-09 11:02:11.732743,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2245,3.40,1045,0.09,1526,1.73,697,-1.69
2024-08-09 11:02:11.732745,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2264,3.43,2347,3.59,1406,1.38,993,-0.13
2024-08-09 11:02:11.760918,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1994,2.89,1907,2.70,1146,0.49,1158,0.54
2024-08-09 11:02:11.840916,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2337,3.57,2528,3.91,1426,1.44,989,-0.15
2024-08-09 11:02:11.840918,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2370,3.63,1066,0.17,1475,1.59,714,-1.59
2024-08-09 11:02:11.872744,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1987,2.87,2334,3.57,1401,1.36,881,-0.66
2024-08-09 11:02:11.872746,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2410,3.70,2714,4.21,1487,1.62,961,-0.28
2024-08-09 11:02:11.972743,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2319,3.54,991,-0.14,1367,1.26,663,-1.91
2024-08-09 11:02:11.972745,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1995,2.89,2244,3.40,1327,1.13,1131,0.43
2024-08-09 11:02:12.000917,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2054,3.02,2269,3.44,1235,0.82,1108,0.34
2024-08-09 11:02:12.000919,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2339,3.57,1007,-0.07,1377,1.29,697,-1.69
2024-08-09 11:02:12.032742,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2113,3.14,2125,3.16,1239,0.83,950,-0.33
2024-08-09 11:02:12.032744,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1888,2.65,1996,2.89,1199,0.69,831,-0.92
2024-08-09 11:02:12.052744,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2181,3.27,990,-0.15,1316,1.09,659,-1.94
2024-08-09 11:02:12.052746,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2066,3.04,1970,2.84,1122,0.40,710,-1.61
2024-08-09 11:02:12.080916,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2476,3.82,2233,3.38,1439,1.48,1048,0.10
2024-08-09 11:02:12.080925,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2156,3.22,1006,-0.08,1382,1.30,687,-1.76
2024-08-09 11:02:12.112741,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2053,3.01,2557,3.96,1629,2.02,845,-0.84
2024-08-09 11:02:12.112743,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2494,3.85,2431,3.74,1505,1.67,1017,-0.03
2024-08-09 11:02:12.132742,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2143,3.20,1026,0.01,1405,1.38,688,-1.75
2024-08-09 11:02:12.132750,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2105,3.12,2026,2.96,1053,0.12,801,-1.08
2024-08-09 11:02:12.160917,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2344,3.58,2377,3.64,1338,1.16,759,-1.32
2024-08-09 11:02:12.160918,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2263,3.43,1070,0.19,1459,1.54,682,-1.79
2024-08-09 11:02:12.192745,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2266,3.44,2502,3.86,1341,1.17,595,-2.40
2024-08-09 11:02:12.192748,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1994,2.89,2707,4.20,1225,0.78,616,-2.24
2024-08-09 11:02:12.212745,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2406,3.70,1110,0.35,1544,1.78,676,-1.83
2024-08-09 11:02:12.212749,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2720,4.22,3168,4.88,1606,1.95,656,-1.96
2024-08-09 11:02:12.240917,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2626,4.07,2698,4.19,1337,1.16,705,-1.64
2024-08-09 11:02:12.240919,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2271,3.45,1053,0.12,1468,1.57,664,-1.91
2024-08-09 11:02:12.280916,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,978,-0.20,593,-2.41,1875,2.62,2137,3.19
